user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user1,workstation2,(v33.0),(licserver/7788,3018),start,Tue,4/14,4:49
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,12609),start,Tue,4/14,5:12
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user2,workstation3,workstation3,(v33.0),(licserver/7788,14512),start,Tue,4/14,3:27
user3,workstation4,workstation4,(v35.0),(licserver/7788,10713),start,Tue,4/14,7:11
user3,workstation4,workstation4,(v35.0),(licserver/7788,10713),start,Tue,4/14,7:11
user3,workstation4,workstation4,(v35.0),(licserver/7788,10713),start,Tue,4/14,7:11
user3,workstation4,workstation4,(v35.0),(licserver/7788,10713),start,Tue,4/14,7:11
user3,workstation4,workstation4,(v35.0),(licserver/7788,1074),start,Mon,4/13,10:37
user3,workstation4,workstation4,(v35.0),(licserver/7788,1074),start,Mon,4/13,10:37
user3,workstation4,workstation4,(v35.0),(licserver/7788,11003),start,Tue,4/14,8:10
user3,workstation4,workstation4,(v35.0),(licserver/7788,12235),start,Mon,4/13,12:34
user3,workstation4,workstation4,(v35.0),(licserver/7788,12235),start,Mon,4/13,12:34
user3,workstation4,workstation4,(v35.0),(licserver/7788,12237),start,Mon,4/13,14:11
user3,workstation4,workstation4,(v35.0),(licserver/7788,12237),start,Mon,4/13,14:11
user3,workstation4,workstation4,(v35.0),(licserver/7788,1247),start,Mon,4/13,16:45
user3,workstation4,workstation4,(v35.0),(licserver/7788,1247),start,Mon,4/13,16:45
user3,workstation4,workstation4,(v35.0),(licserver/7788,13916),start,Tue,4/14,4:55
user3,workstation4,workstation4,(v35.0),(licserver/7788,13916),start,Tue,4/14,4:55
user3,workstation4,workstation4,(v35.0),(licserver/7788,156),start,Mon,4/13,12:59
user3,workstation4,workstation4,(v35.0),(licserver/7788,156),start,Mon,4/13,12:59
